Model,Revenue RMSE,Revenue MAE,Revenue R²,Ratings RMSE,Ratings MAE,Ratings R²
Linear,1.4763622763407473,1.074456388014925,0.4438491054225181,0.4103002961626162,0.3213585342877491,0.3355654343880481
Random Forest,1.2356589543154999,0.8330214571420315,0.6104134077069201,0.33923949537604803,0.26017773440857817,0.545785103157653
