Model,Revenue R-squared Mean,Revenue R-squared Std,Ratings R-squared Mean,Ratings R-squared Std
Linear,0.4394625283272441,0.01476117336859345,0.39893637378805485,0.012919988626365175
RF,0.6284415014039395,0.021330594584823687,0.5574515867303967,0.009091169999125511
XGBoost,0.6559174347459507,0.011336948429819804,0.609504805576472,0.0057717474505065754
NN,0.5848942170203769,0.01589491826071577,0.5688382848992084,0.018178913010380597
